filename,width,height,class,xmin,ymin,xmax,ymax
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,373,314,665,667
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,694,228,992,530
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,132,219,365,499
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,1,376,281,806
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,385,651,718,900
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,799,580,1197,900
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,423,64,638,309
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,1017,160,1200,441
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,696,8,932,220
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,209,51,403,266
images (1).jpeg,299,169,two_wheeler,30,27,92,158
images (1).jpeg,299,169,two_wheeler,86,32,115,108
images (1).jpeg,299,169,two_wheeler,109,29,143,147
images (1).jpeg,299,169,two_wheeler,197,22,276,169
images (1).jpeg,299,169,two_wheeler,133,31,179,156
images (1).jpeg,299,169,two_wheeler,244,40,289,138
feature.jpg,854,559,car,267,198,400,343
feature.jpg,854,559,car,72,194,230,345
feature.jpg,854,559,car,423,220,535,345
feature.jpg,854,559,car,177,206,279,329
helmet-story_647_051817101844_0.jpg,647,404,two_wheeler,1,8,168,404
helmet-story_647_051817101844_0.jpg,647,404,two_wheeler,267,27,466,404
helmet-story_647_051817101844_0.jpg,647,404,two_wheeler,556,52,647,322
p047y4m8.jpg,720,405,car,50,110,206,208
p047y4m8.jpg,720,405,car,269,113,399,212
p047y4m8.jpg,720,405,car,381,92,416,141
untitled-7-1550059449.jpg,600,338,two_wheeler,93,63,215,300
untitled-7-1550059449.jpg,600,338,two_wheeler,198,55,302,310
untitled-7-1550059449.jpg,600,338,two_wheeler,6,55,110,318
untitled-7-1550059449.jpg,600,338,two_wheeler,309,45,437,314
untitled-7-1550059449.jpg,600,338,two_wheeler,429,39,532,306
untitled-7-1550059449.jpg,600,338,two_wheeler,537,37,600,300
bangalore-traffic_PTI-min_0_1.jpg,750,493,car,197,352,348,480
bangalore-traffic_PTI-min_0_1.jpg,750,493,car,383,370,516,483
bangalore-traffic_PTI-min_0_1.jpg,750,493,car,548,303,647,409
bangalore-traffic_PTI-min_0_1.jpg,750,493,car,478,277,574,356
bangalore-traffic_PTI-min_0_1.jpg,750,493,car,389,289,489,351
bangalore-traffic_PTI-min_0_1.jpg,750,493,car,651,341,748,473
bangalore-traffic_PTI-min_0_1.jpg,750,493,car,689,282,750,343
bangalore-traffic_PTI-min_0_1.jpg,750,493,car,552,219,624,290
bangalore-traffic_PTI-min_0_1.jpg,750,493,car,674,209,736,282
bangalore-traffic_PTI-min_0_1.jpg,750,493,car,448,240,490,301
bangalore-traffic_PTI-min_0_1.jpg,750,493,car,491,216,566,280
unnamed.jpg,512,288,car,122,89,213,181
unnamed.jpg,512,288,car,28,176,124,288
unnamed.jpg,512,288,car,145,12,201,69
unnamed.jpg,512,288,rickshaw,245,70,303,147
unnamed.jpg,512,288,two_wheeler,380,95,427,180
unnamed.jpg,512,288,two_wheeler,402,184,460,274
unnamed.jpg,512,288,two_wheeler,326,101,369,189
unnamed.jpg,512,288,two_wheeler,296,83,333,170
unnamed.jpg,512,288,two_wheeler,323,16,350,67
unnamed.jpg,512,288,two_wheeler,302,2,332,53
cabs.jpg,759,422,car,116,200,267,384
cabs.jpg,759,422,car,344,234,586,390
cabs.jpg,759,422,car,114,70,258,220
cabs.jpg,759,422,car,278,83,355,219
cabs.jpg,759,422,car,340,131,460,255
cabs.jpg,759,422,car,410,173,575,226
cabs.jpg,759,422,car,184,25,272,115
cabs.jpg,759,422,car,39,3,126,91
Road621.jpg,621,414,car,19,250,148,400
Road621.jpg,621,414,car,215,261,328,395
Road621.jpg,621,414,car,377,284,498,403
Road621.jpg,621,414,car,537,286,621,403
Road621.jpg,621,414,car,316,211,433,319
Road621.jpg,621,414,car,89,168,171,262
Road621.jpg,621,414,car,199,133,289,226
Road621.jpg,621,414,car,369,115,464,195
Road621.jpg,621,414,car,72,78,147,148
Road621.jpg,621,414,car,278,64,354,146
Road621.jpg,621,414,car,195,66,262,124
Road621.jpg,621,414,car,62,18,118,74
Road621.jpg,621,414,car,181,24,249,85
Road621.jpg,621,414,car,308,31,371,98
Road621.jpg,621,414,car,265,7,323,60
tuk-tuks-the-indian-taxi-at-new-delhi-india-P5XTNM.jpg,1300,1065,car,124,688,280,922
tuk-tuks-the-indian-taxi-at-new-delhi-india-P5XTNM.jpg,1300,1065,car,128,585,264,740
tuk-tuks-the-indian-taxi-at-new-delhi-india-P5XTNM.jpg,1300,1065,car,173,379,291,497
tuk-tuks-the-indian-taxi-at-new-delhi-india-P5XTNM.jpg,1300,1065,car,471,450,598,617
tuk-tuks-the-indian-taxi-at-new-delhi-india-P5XTNM.jpg,1300,1065,car,610,449,728,595
tuk-tuks-the-indian-taxi-at-new-delhi-india-P5XTNM.jpg,1300,1065,car,1042,552,1207,739
tuk-tuks-the-indian-taxi-at-new-delhi-india-P5XTNM.jpg,1300,1065,car,737,395,816,502
tuk-tuks-the-indian-taxi-at-new-delhi-india-P5XTNM.jpg,1300,1065,car,631,363,720,478
tuk-tuks-the-indian-taxi-at-new-delhi-india-P5XTNM.jpg,1300,1065,car,538,252,607,349
tuk-tuks-the-indian-taxi-at-new-delhi-india-P5XTNM.jpg,1300,1065,car,312,224,391,328
tuk-tuks-the-indian-taxi-at-new-delhi-india-P5XTNM.jpg,1300,1065,car,437,220,507,304
Walkers.jpg,600,300,two_wheeler,233,103,326,300
Walkers.jpg,600,300,two_wheeler,333,107,407,270
Walkers.jpg,600,300,two_wheeler,440,120,483,220
Walkers.jpg,600,300,car,95,109,198,246
india-heavy-traffic-streets-ahmedabad-capital-city-gujarat-134602958.jpg,1600,1152,two_wheeler,544,362,833,1019
india-heavy-traffic-streets-ahmedabad-capital-city-gujarat-134602958.jpg,1600,1152,two_wheeler,290,332,568,861
india-heavy-traffic-streets-ahmedabad-capital-city-gujarat-134602958.jpg,1600,1152,two_wheeler,111,341,354,730
india-heavy-traffic-streets-ahmedabad-capital-city-gujarat-134602958.jpg,1600,1152,two_wheeler,724,322,1014,750
india-heavy-traffic-streets-ahmedabad-capital-city-gujarat-134602958.jpg,1600,1152,two_wheeler,1236,333,1600,906
delhitraffic-k6yH-621x414@LiveMint.jpg,621,414,car,277,248,323,313
delhitraffic-k6yH-621x414@LiveMint.jpg,621,414,car,116,274,175,338
delhitraffic-k6yH-621x414@LiveMint.jpg,621,414,car,213,259,262,332
