filename,width,height,class,xmin,ymin,xmax,ymax
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,373,314,665,667
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,694,228,992,530
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,132,219,365,499
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,1,376,281,806
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,385,651,718,900
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,799,580,1197,900
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,423,64,638,309
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,1017,160,1200,441
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,696,8,932,220
indian-car-buyers-becoming-less-price-conscious-more-emphasis-on-vehicle-styling-jd-power.png,1200,900,car,209,51,403,266
images (1).jpeg,299,169,two_wheeler,30,27,92,158
images (1).jpeg,299,169,two_wheeler,86,32,115,108
images (1).jpeg,299,169,two_wheeler,109,29,143,147
images (1).jpeg,299,169,two_wheeler,197,22,276,169
images (1).jpeg,299,169,two_wheeler,133,31,179,156
images (1).jpeg,299,169,two_wheeler,244,40,289,138
cars.png,700,412,car,247,243,336,325
cars.png,700,412,car,358,260,457,372
cars.png,700,412,car,508,292,634,406
cars.png,700,412,car,441,182,502,233
cars.png,700,412,car,285,181,344,232
cars.png,700,412,car,298,133,339,188
cars.png,700,412,car,341,127,388,157
cars.png,700,412,car,344,153,402,194
cars.png,700,412,car,350,172,434,262
cars.png,700,412,car,549,163,673,280
D755_8_009_0004_600.jpg,600,338,car,226,121,405,272
D755_8_009_0004_600.jpg,600,338,car,18,43,123,133
D755_8_009_0004_600.jpg,600,338,car,181,37,294,120
D755_8_009_0004_600.jpg,600,338,car,383,96,543,206
D755_8_009_0004_600.jpg,600,338,car,444,188,591,338
germany-expected-to-fall-short-of-2020-target-of-1-million-plug-in-vehicles-on-the-road.jpg,889,500,car,60,264,206,386
germany-expected-to-fall-short-of-2020-target-of-1-million-plug-in-vehicles-on-the-road.jpg,889,500,car,194,309,401,441
germany-expected-to-fall-short-of-2020-target-of-1-million-plug-in-vehicles-on-the-road.jpg,889,500,car,535,311,836,488
germany-expected-to-fall-short-of-2020-target-of-1-million-plug-in-vehicles-on-the-road.jpg,889,500,car,407,283,623,369
germany-expected-to-fall-short-of-2020-target-of-1-million-plug-in-vehicles-on-the-road.jpg,889,500,car,201,212,364,288
germany-expected-to-fall-short-of-2020-target-of-1-million-plug-in-vehicles-on-the-road.jpg,889,500,car,353,217,474,299
germany-expected-to-fall-short-of-2020-target-of-1-million-plug-in-vehicles-on-the-road.jpg,889,500,car,606,212,768,294
germany-expected-to-fall-short-of-2020-target-of-1-million-plug-in-vehicles-on-the-road.jpg,889,500,car,495,188,665,268
schwestern3.jpg,2304,1728,car,1189,522,2123,1206
schwestern3.jpg,2304,1728,car,166,518,1066,1181
main-qimg-296e321a505532f32f6d5f281f1e06c2.png,817,581,car,511,264,653,383
main-qimg-296e321a505532f32f6d5f281f1e06c2.png,817,581,car,428,283,486,335
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,140,230,198,286
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,233,187,294,264
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,124,173,164,205
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,129,147,162,174
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,198,154,232,178
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,211,180,254,210
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,281,157,320,187
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,136,122,166,147
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,244,126,274,150
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,297,187,341,228
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,335,137,456,286
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,188,88,230,151
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,238,112,262,133
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,137,105,165,126
article-0-046DF6AB000005DC-485_468x286.jpg,468,286,car,149,93,168,110
hqdefault.jpg,480,360,car,112,119,214,207
hqdefault.jpg,480,360,car,223,91,300,197
hqdefault.jpg,480,360,car,156,77,225,159
hqdefault.jpg,480,360,two_wheeler,221,237,301,360
hqdefault.jpg,480,360,two_wheeler,139,274,202,360
hqdefault.jpg,480,360,two_wheeler,315,238,404,360
hqdefault.jpg,480,360,two_wheeler,349,122,396,223
feature.jpg,854,559,car,267,198,400,343
feature.jpg,854,559,car,72,194,230,345
feature.jpg,854,559,car,423,220,535,345
feature.jpg,854,559,car,177,206,279,329
583476cc33969.image.jpg,620,419,car,239,208,381,380
583476cc33969.image.jpg,620,419,car,1,214,132,365
583476cc33969.image.jpg,620,419,car,66,123,183,229
583476cc33969.image.jpg,620,419,car,140,76,218,137
583476cc33969.image.jpg,620,419,car,284,164,394,273
583476cc33969.image.jpg,620,419,car,484,105,600,206
583476cc33969.image.jpg,620,419,car,550,259,620,383
583476cc33969.image.jpg,620,419,car,396,54,447,106
583476cc33969.image.jpg,620,419,car,265,96,350,160
583476cc33969.image.jpg,620,419,car,275,68,343,119
583476cc33969.image.jpg,620,419,car,186,62,245,105
583476cc33969.image.jpg,620,419,car,88,54,140,105
583476cc33969.image.jpg,620,419,car,1,55,38,101
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,94,407,197,504
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,121,334,208,404
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,286,400,383,505
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,455,398,550,502
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,316,334,397,401
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,447,289,529,355
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,474,338,568,429
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,213,238,272,293
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,247,204,302,246
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,354,218,409,276
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,335,175,383,219
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,248,180,299,217
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,259,152,299,186
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,523,161,560,193
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,398,165,432,206
ST_20170121_CTSHRUNK21_2888691.jpg,780,520,car,282,141,319,174
